"JURISDICTION","LOCATION","AGE_GROUP","BEST_DETECTION_METHOD","DETECTION_METHOD","AMPHETAMINE","CANNABIS","ECSTASY","NO_DRUGS_DETECTED","COUNT","YEAR"
"NSW","Major Cities of Australia","40-64","No","Secondary Confirmatory (Stage 2)","Yes","Yes","Not applicable","Not applicable",3,2023
"NSW","Major Cities of Australia","40-64","Yes","Laboratory or Toxicology (Stage 3)","No","No","No","Not applicable",2,2023
"NSW","Major Cities of Australia","40-64","Yes","Laboratory or Toxicology (Stage 3)","No","No","No","Not applicable",5,2023
"NSW","Major Cities of Australia","40-64","Yes","Laboratory or Toxicology (Stage 3)","No","Yes","No","Not applicable",39,2023
"NSW","Major Cities of Australia","40-64","Yes","Laboratory or Toxicology (Stage 3)","No","Yes","No","Not applicable",2,2023
"NSW","Major Cities of Australia","40-64","Yes","Laboratory or Toxicology (Stage 3)","Yes","No","No","Not applicable",146,2023
"NSW","Major Cities of Australia","40-64","Yes","Laboratory or Toxicology (Stage 3)","Yes","No","Yes","Not applicable",3,2023
"NSW","Major Cities of Australia","40-64","Yes","Laboratory or Toxicology (Stage 3)","Yes","No","No","Not applicable",7,2023
"NSW","Major Cities of Australia","40-64","Yes","Laboratory or Toxicology (Stage 3)","Yes","Yes","No","Not applicable",59,2023
"NSW","Major Cities of Australia","40-64","Yes","Laboratory or Toxicology (Stage 3)","Yes","Yes","No","Not applicable",3,2023
"NSW","Major Cities of Australia","65 and over","No","Indicator (Stage 1)","No","No","Not applicable","Not applicable",1,2023
"NSW","Major Cities of Australia","65 and over","No","Indicator (Stage 1)","No","Yes","Not applicable","Not applicable",4,2023
"NSW","Major Cities of Australia","65 and over","No","Secondary Confirmatory (Stage 2)","No","No","Not applicable","Not applicable",1,2023
"NSW","Major Cities of Australia","65 and over","No","Secondary Confirmatory (Stage 2)","No","No","Not applicable","Not applicable",1,2023
"NSW","Major Cities of Australia","65 and over","No","Secondary Confirmatory (Stage 2)","No","Yes","Not applicable","Not applicable",3,2023
"NSW","Major Cities of Australia","65 and over","Yes","Laboratory or Toxicology (Stage 3)","No","No","No","Not applicable",1,2023
"NSW","Major Cities of Australia","65 and over","Yes","Laboratory or Toxicology (Stage 3)","No","Yes","No","Not applicable",4,2023
"NSW","Outer Regional Australia","17-25","No","Indicator (Stage 1)","No","Yes","Not applicable","Not applicable",11,2023
"NSW","Outer Regional Australia","17-25","No","Indicator (Stage 1)","Yes","No","Not applicable","Not applicable",11,2023
"NSW","Outer Regional Australia","17-25","No","Secondary Confirmatory (Stage 2)","No","No","Not applicable","Not applicable",2,2023
"NSW","Outer Regional Australia","17-25","No","Secondary Confirmatory (Stage 2)","No","No","Not applicable","Not applicable",1,2023
"NSW","Outer Regional Australia","17-25","No","Secondary Confirmatory (Stage 2)","No","Yes","Not applicable","Not applicable",7,2023
"NSW","Outer Regional Australia","17-25","No","Secondary Confirmatory (Stage 2)","No","Yes","Not applicable","Not applicable",1,2023
"NSW","Outer Regional Australia","17-25","No","Secondary Confirmatory (Stage 2)","Yes","No","Not applicable","Not applicable",9,2023
"NSW","Outer Regional Australia","17-25","No","Secondary Confirmatory (Stage 2)","Yes","Yes","Not applicable","Not applicable",2,2023
"NSW","Outer Regional Australia","17-25","Yes","Laboratory or Toxicology (Stage 3)","No","No","No","Not applicable",1,2023
"NSW","Outer Regional Australia","17-25","Yes","Laboratory or Toxicology (Stage 3)","No","Yes","No","Not applicable",7,2023
"NSW","Outer Regional Australia","17-25","Yes","Laboratory or Toxicology (Stage 3)","No","Yes","Yes","Not applicable",2,2023
"NSW","Outer Regional Australia","17-25","Yes","Laboratory or Toxicology (Stage 3)","No","Yes","No","Not applicable",1,2023
"NSW","Outer Regional Australia","17-25","Yes","Laboratory or Toxicology (Stage 3)","Yes","No","No","Not applicable",9,2023
"NSW","Outer Regional Australia","17-25","Yes","Laboratory or Toxicology (Stage 3)","Yes","Yes","No","Not applicable",2,2023
"NSW","Outer Regional Australia","26-39","No","Indicator (Stage 1)","No","No","Not applicable","Not applicable",1,2023
"NSW","Outer Regional Australia","26-39","No","Indicator (Stage 1)","No","Yes","Not applicable","Not applicable",21,2023
"NSW","Outer Regional Australia","26-39","No","Indicator (Stage 1)","Yes","No","Not applicable","Not applicable",33,2023
"NSW","Outer Regional Australia","26-39","No","Indicator (Stage 1)","Yes","Yes","Not applicable","Not applicable",5,2023
"NSW","Outer Regional Australia","26-39","No","Secondary Confirmatory (Stage 2)","No","No","Not applicable","Not applicable",10,2023
"NSW","Outer Regional Australia","26-39","No","Secondary Confirmatory (Stage 2)","No","No","Not applicable","Not applicable",1,2023
"NSW","Outer Regional Australia","26-39","No","Secondary Confirmatory (Stage 2)","No","Yes","Not applicable","Not applicable",18,2023
"NSW","Outer Regional Australia","26-39","No","Secondary Confirmatory (Stage 2)","Yes","No","Not applicable","Not applicable",26,2023
"NSW","Outer Regional Australia","26-39","No","Secondary Confirmatory (Stage 2)","Yes","Yes","Not applicable","Not applicable",5,2023
"NSW","Outer Regional Australia","26-39","Yes","Laboratory or Toxicology (Stage 3)","No","No","No","Not applicable",1,2023
"NSW","Outer Regional Australia","26-39","Yes","Laboratory or Toxicology (Stage 3)","No","Yes","No","Not applicable",21,2023
"NSW","Outer Regional Australia","26-39","Yes","Laboratory or Toxicology (Stage 3)","Yes","No","No","Not applicable",26,2023
"NSW","Outer Regional Australia","26-39","Yes","Laboratory or Toxicology (Stage 3)","Yes","No","Yes","Not applicable",2,2023
"NSW","Outer Regional Australia","26-39","Yes","Laboratory or Toxicology (Stage 3)","Yes","Yes","No","Not applicable",10,2023
"NSW","Outer Regional Australia","40-64","No","Indicator (Stage 1)","No","Yes","Not applicable","Not applicable",19,2023
"NSW","Outer Regional Australia","40-64","No","Indicator (Stage 1)","Yes","No","Not applicable","Not applicable",35,2023
"NSW","Outer Regional Australia","40-64","No","Indicator (Stage 1)","Yes","Yes","Not applicable","Not applicable",7,2023
"NSW","Outer Regional Australia","40-64","No","Secondary Confirmatory (Stage 2)","No","No","Not applicable","Not applicable",4,2023
"NSW","Outer Regional Australia","40-64","No","Secondary Confirmatory (Stage 2)","No","No","Not applicable","Not applicable",2,2023
"NSW","Outer Regional Australia","40-64","No","Secondary Confirmatory (Stage 2)","No","Yes","Not applicable","Not applicable",15,2023
"NSW","Outer Regional Australia","40-64","No","Secondary Confirmatory (Stage 2)","Yes","No","Not applicable","Not applicable",27,2023
"NSW","Outer Regional Australia","40-64","No","Secondary Confirmatory (Stage 2)","Yes","Yes","Not applicable","Not applicable",13,2023
"NSW","Outer Regional Australia","40-64","Yes","Laboratory or Toxicology (Stage 3)","No","No","No","Not applicable",1,2023
"NSW","Outer Regional Australia","40-64","Yes","Laboratory or Toxicology (Stage 3)","No","Yes","No","Not applicable",16,2023
"NSW","Outer Regional Australia","40-64","Yes","Laboratory or Toxicology (Stage 3)","Yes","No","No","Not applicable",24,2023
"NSW","Outer Regional Australia","40-64","Yes","Laboratory or Toxicology (Stage 3)","Yes","No","Yes","Not applicable",1,2023
"NSW","Outer Regional Australia","40-64","Yes","Laboratory or Toxicology (Stage 3)","Yes","Yes","No","Not applicable",19,2023
"NSW","Outer Regional Australia","65 and over","No","Indicator (Stage 1)","No","Yes","Not applicable","Not applicable",2,2023
"NSW","Outer Regional Australia","65 and over","No","Secondary Confirmatory (Stage 2)","No","Yes","Not applicable","Not applicable",2,2023
"NSW","Outer Regional Australia","65 and over","Yes","Laboratory or Toxicology (Stage 3)","No","Yes","No","Not applicable",2,2023
"NSW","Remote Australia","17-25","No","Indicator (Stage 1)","No","Yes","Not applicable","Not applicable",1,2023
"NSW","Remote Australia","17-25","No","Secondary Confirmatory (Stage 2)","No","Yes","Not applicable","Not applicable",1,2023
"NSW","Remote Australia","17-25","Yes","Laboratory or Toxicology (Stage 3)","No","Yes","No","Not applicable",1,2023
"NSW","Remote Australia","26-39","No","Indicator (Stage 1)","No","Yes","Not applicable","Not applicable",1,2023
"NSW","Remote Australia","26-39","No","Indicator (Stage 1)","Yes","No","Not applicable","Not applicable",1,2023
"NSW","Remote Australia","26-39","No","Indicator (Stage 1)","Yes","Yes","Not applicable","Not applicable",1,2023
"NSW","Remote Australia","26-39","No","Secondary Confirmatory (Stage 2)","No","No","Not applicable","Not applicable",1,2023
"NSW","Remote Australia","26-39","No","Secondary Confirmatory (Stage 2)","No","Yes","Not applicable","Not applicable",1,2023
"NSW","Remote Australia","26-39","No","Secondary Confirmatory (Stage 2)","Yes","Yes","Not applicable","Not applicable",1,2023
"NSW","Remote Australia","26-39","Yes","Laboratory or Toxicology (Stage 3)","No","Yes","No","Not applicable",2,2023
"NSW","Remote Australia","26-39","Yes","Laboratory or Toxicology (Stage 3)","Yes","Yes","No","Not applicable",1,2023
"NSW","Remote Australia","40-64","No","Indicator (Stage 1)","No","Yes","Not applicable","Not applicable",1,2023
"NSW","Remote Australia","40-64","No","Indicator (Stage 1)","Yes","No","Not applicable","Not applicable",3,2023
"NSW","Remote Australia","40-64","No","Indicator (Stage 1)","Yes","Yes","Not applicable","Not applicable",1,2023
"NSW","Remote Australia","40-64","No","Secondary Confirmatory (Stage 2)","No","No","Not applicable","Not applicable",2,2023
"NSW","Remote Australia","40-64","No","Secondary Confirmatory (Stage 2)","Yes","No","Not applicable","Not applicable",1,2023
"NSW","Remote Australia","40-64","No","Secondary Confirmatory (Stage 2)","Yes","Yes","Not applicable","Not applicable",2,2023
"NSW","Remote Australia","40-64","Yes","Laboratory or Toxicology (Stage 3)","No","Yes","No","Not applicable",1,2023
"NSW","Remote Australia","40-64","Yes","Laboratory or Toxicology (Stage 3)","Yes","No","No","Not applicable",2,2023
"NSW","Remote Australia","40-64","Yes","Laboratory or Toxicology (Stage 3)","Yes","Yes","No","Not applicable",2,2023
"NSW","Unknown","17-25","No","Indicator (Stage 1)","No","Yes","Not applicable","Not applicable",3,2023
"NSW","Unknown","17-25","No","Indicator (Stage 1)","Yes","No","Not applicable","Not applicable",1,2023
"NSW","Unknown","17-25","No","Secondary Confirmatory (Stage 2)","No","Yes","Not applicable","Not applicable",3,2023
"NSW","Unknown","17-25","No","Secondary Confirmatory (Stage 2)","Yes","No","Not applicable","Not applicable",1,2023
"NSW","Unknown","17-25","Yes","Laboratory or Toxicology (Stage 3)","No","No","No","Not applicable",1,2023
"NSW","Unknown","17-25","Yes","Laboratory or Toxicology (Stage 3)","No","Yes","No","Not applicable",2,2023
"NSW","Unknown","17-25","Yes","Laboratory or Toxicology (Stage 3)","No","Yes","Yes","Not applicable",1,2023
"NSW","Unknown","26-39","No","Indicator (Stage 1)","No","Yes","Not applicable","Not applicable",1,2023
"NSW","Unknown","26-39","No","Indicator (Stage 1)","No","Yes","Not applicable","Not applicable",1,2023
"NSW","Unknown","26-39","No","Indicator (Stage 1)","Yes","No","Not applicable","Not applicable",2,2023
"NSW","Unknown","26-39","No","Secondary Confirmatory (Stage 2)","No","Yes","Not applicable","Not applicable",1,2023
"NSW","Unknown","26-39","No","Secondary Confirmatory (Stage 2)","Yes","No","Not applicable","Not applicable",2,2023
"NSW","Unknown","26-39","No","Secondary Confirmatory (Stage 2)","Yes","Yes","Not applicable","Not applicable",1,2023
"NSW","Unknown","26-39","Yes","Laboratory or Toxicology (Stage 3)","No","Yes","No","Not applicable",1,2023
"NSW","Unknown","26-39","Yes","Laboratory or Toxicology (Stage 3)","Yes","No","No","Not applicable",2,2023
"NSW","Unknown","26-39","Yes","Laboratory or Toxicology (Stage 3)","Yes","Yes","No","Not applicable",1,2023
"NSW","Unknown","40-64","No","Indicator (Stage 1)","No","No","Not applicable","Not applicable",1,2023
"NSW","Unknown","40-64","No","Indicator (Stage 1)","No","Yes","Not applicable","Not applicable",2,2023
"NSW","Unknown","40-64","No","Indicator (Stage 1)","Yes","No","Not applicable","Not applicable",6,2023
"NSW","Unknown","40-64","No","Indicator (Stage 1)","Yes","No","Not applicable","Not applicable",1,2023
"NSW","Unknown","40-64","No","Secondary Confirmatory (Stage 2)","No","No","Not applicable","Not applicable",2,2023
"NSW","Unknown","40-64","No","Secondary Confirmatory (Stage 2)","No","Yes","Not applicable","Not applicable",2,2023
"NSW","Unknown","40-64","No","Secondary Confirmatory (Stage 2)","No","Yes","Not applicable","Not applicable",1,2023
"NSW","Unknown","40-64","No","Secondary Confirmatory (Stage 2)","Yes","No","Not applicable","Not applicable",3,2023
"NSW","Unknown","40-64","No","Secondary Confirmatory (Stage 2)","Yes","Yes","Not applicable","Not applicable",2,2023
"NSW","Unknown","40-64","Yes","Laboratory or Toxicology (Stage 3)","No","No","No","Not applicable",1,2023
"NSW","Unknown","40-64","Yes","Laboratory or Toxicology (Stage 3)","No","Yes","No","Not applicable",2,2023
"NSW","Unknown","40-64","Yes","Laboratory or Toxicology (Stage 3)","Yes","No","No","Not applicable",4,2023
"NSW","Unknown","40-64","Yes","Laboratory or Toxicology (Stage 3)","Yes","No","No","Not applicable",1,2023
"NSW","Unknown","40-64","Yes","Laboratory or Toxicology (Stage 3)","Yes","Yes","No","Not applicable",2,2023
"NSW","Very Remote Australia","40-64","No","Indicator (Stage 1)","Yes","No","Not applicable","Not applicable",1,2023
"NSW","Very Remote Australia","40-64","No","Secondary Confirmatory (Stage 2)","Yes","No","Not applicable","Not applicable",1,2023
"NSW","Very Remote Australia","40-64","Yes","Laboratory or Toxicology (Stage 3)","Yes","Yes","No","Not applicable",1,2023
"NT","Unknown","17-25","Yes","Indicator (Stage 1)","Not applicable","Yes","Not applicable","Not applicable",6,2023
"NT","Unknown","26-39","Yes","Indicator (Stage 1)","Not applicable","Yes","Not applicable","Not applicable",7,2023
"NT","Unknown","40-64","Yes","Indicator (Stage 1)","Not applicable","Yes","Not applicable","Not applicable",13,2023
"SA","Unknown","0-16","Yes","Laboratory or Toxicology (Stage 3)","Not applicable","No","No","Yes",0,2023
"SA","Unknown","0-16","Yes","Laboratory or Toxicology (Stage 3)","Not applicable","No","No","No",0,2023
"SA","Unknown","0-16","Yes","Laboratory or Toxicology (Stage 3)","Not applicable","No","No","No",2,2023
"SA","Unknown","0-16","Yes","Laboratory or Toxicology (Stage 3)","Not applicable","No","Yes","No",1,2023
"SA","Unknown","0-16","Yes","Laboratory or Toxicology (Stage 3)","Not applicable","No","Yes","No",0,2023
"SA","Unknown","0-16","Yes","Laboratory or Toxicology (Stage 3)","Not applicable","Yes","No","No",3,2023
"SA","Unknown","0-16","Yes","Laboratory or Toxicology (Stage 3)","Not applicable","Yes","No","No",1,2023
"SA","Unknown","0-16","Yes","Laboratory or Toxicology (Stage 3)","Not applicable","Yes","Yes","No",0,2023
"SA","Unknown","0-16","Yes","Laboratory or Toxicology (Stage 3)","Not applicable","Yes","Yes","No",0,2023
"SA","Unknown","17-25","Yes","Laboratory or Toxicology (Stage 3)","Not applicable","No","No","Yes",0,2023
"SA","Unknown","17-25","Yes","Laboratory or Toxicology (Stage 3)","Not applicable","No","No","No",0,2023
"SA","Unknown","17-25","Yes","Laboratory or Toxicology (Stage 3)","Not applicable","No","No","No",94,2023
"SA","Unknown","17-25","Yes","Laboratory or Toxicology (Stage 3)","Not applicable","No","Yes","No",17,2023
"SA","Unknown","17-25","Yes","Laboratory or Toxicology (Stage 3)","Not applicable","No","Yes","No",5,2023
"SA","Unknown","17-25","Yes","Laboratory or Toxicology (Stage 3)","Not applicable","Yes","No","No",332,2023
"SA","Unknown","17-25","Yes","Laboratory or Toxicology (Stage 3)","Not applicable","Yes","No","No",44,2023
"SA","Unknown","17-25","Yes","Laboratory or Toxicology (Stage 3)","Not applicable","Yes","Yes","No",12,2023
"SA","Unknown","17-25","Yes","Laboratory or Toxicology (Stage 3)","Not applicable","Yes","Yes","No",0,2023
"SA","Unknown","26-39","Yes","Laboratory or Toxicology (Stage 3)","Not applicable","No","No","Yes",0,2023
"SA","Unknown","26-39","Yes","Laboratory or Toxicology (Stage 3)","Not applicable","No","No","No",0,2023
"SA","Unknown","26-39","Yes","Laboratory or Toxicology (Stage 3)","Not applicable","No","No","No",925,2023
"SA","Unknown","26-39","Yes","Laboratory or Toxicology (Stage 3)","Not applicable","No","Yes","No",8,2023
"SA","Unknown","26-39","Yes","Laboratory or Toxicology (Stage 3)","Not applicable","No","Yes","No",9,2023
"SA","Unknown","26-39","Yes","Laboratory or Toxicology (Stage 3)","Not applicable","Yes","No","No",582,2023
"SA","Unknown","26-39","Yes","Laboratory or Toxicology (Stage 3)","Not applicable","Yes","No","No",322,2023
"SA","Unknown","26-39","Yes","Laboratory or Toxicology (Stage 3)","Not applicable","Yes","Yes","No",7,2023
"SA","Unknown","26-39","Yes","Laboratory or Toxicology (Stage 3)","Not applicable","Yes","Yes","No",9,2023
"SA","Unknown","40-64","Yes","Laboratory or Toxicology (Stage 3)","Not applicable","No","No","Yes",0,2023
"SA","Unknown","40-64","Yes","Laboratory or Toxicology (Stage 3)","Not applicable","No","No","No",0,2023
"SA","Unknown","40-64","Yes","Laboratory or Toxicology (Stage 3)","Not applicable","No","No","No",1270,2023
"SA","Unknown","40-64","Yes","Laboratory or Toxicology (Stage 3)","Not applicable","No","Yes","No",2,2023
"SA","Unknown","40-64","Yes","Laboratory or Toxicology (Stage 3)","Not applicable","No","Yes","No",14,2023
"SA","Unknown","40-64","Yes","Laboratory or Toxicology (Stage 3)","Not applicable","Yes","No","No",621,2023
"SA","Unknown","40-64","Yes","Laboratory or Toxicology (Stage 3)","Not applicable","Yes","No","No",447,2023
"SA","Unknown","40-64","Yes","Laboratory or Toxicology (Stage 3)","Not applicable","Yes","Yes","No",1,2023
"SA","Unknown","40-64","Yes","Laboratory or Toxicology (Stage 3)","Not applicable","Yes","Yes","No",6,2023
"SA","Unknown","65 and over","Yes","Laboratory or Toxicology (Stage 3)","Not applicable","No","No","Yes",0,2023
"SA","Unknown","65 and over","Yes","Laboratory or Toxicology (Stage 3)","Not applicable","No","No","No",0,2023
"SA","Unknown","65 and over","Yes","Laboratory or Toxicology (Stage 3)","Not applicable","No","No","No",24,2023
"SA","Unknown","65 and over","Yes","Laboratory or Toxicology (Stage 3)","Not applicable","No","Yes","No",0,2023
"SA","Unknown","65 and over","Yes","Laboratory or Toxicology (Stage 3)","Not applicable","No","Yes","No",0,2023
"SA","Unknown","65 and over","Yes","Laboratory or Toxicology (Stage 3)","Not applicable","Yes","No","No",46,2023
"SA","Unknown","65 and over","Yes","Laboratory or Toxicology (Stage 3)","Not applicable","Yes","No","No",10,2023
"SA","Unknown","65 and over","Yes","Laboratory or Toxicology (Stage 3)","Not applicable","Yes","Yes","No",0,2023
"SA","Unknown","65 and over","Yes","Laboratory or Toxicology (Stage 3)","Not applicable","Yes","Yes","No",0,2023
"SA","Unknown","Unknown","Yes","Laboratory or Toxicology (Stage 3)","Not applicable","No","No","Yes",503,2023
"SA","Unknown","Unknown","Yes","Laboratory or Toxicology (Stage 3)","Not applicable","No","No","No",12,2023
"SA","Unknown","Unknown","Yes","Laboratory or Toxicology (Stage 3)","Not applicable","No","No","No",0,2023
"SA","Unknown","Unknown","Yes","Laboratory or Toxicology (Stage 3)","Not applicable","No","Yes","No",0,2023
"SA","Unknown","Unknown","Yes","Laboratory or Toxicology (Stage 3)","Not applicable","No","Yes","No",0,2023
"SA","Unknown","Unknown","Yes","Laboratory or Toxicology (Stage 3)","Not applicable","Yes","No","No",0,2023
"SA","Unknown","Unknown","Yes","Laboratory or Toxicology (Stage 3)","Not applicable","Yes","No","No",0,2023
"SA","Unknown","Unknown","Yes","Laboratory or Toxicology (Stage 3)","Not applicable","Yes","Yes","No",0,2023
"SA","Unknown","Unknown","Yes","Laboratory or Toxicology (Stage 3)","Not applicable","Yes","Yes","No",0,2023
"TAS","Unknown","Unknown","Yes","Indicator (Stage 1)","Not applicable","Not applicable","Not applicable","Not applicable",173,2023
"VIC","Inner Regional Australia","17-25","Yes","Indicator (Stage 1)","No","No","Yes","Not applicable",1,2023
"VIC","Inner Regional Australia","17-25","Yes","Indicator (Stage 1)","No","Yes","No","Not applicable",21,2023
"VIC","Inner Regional Australia","17-25","Yes","Indicator (Stage 1)","No","Yes","Yes","Not applicable",2,2023
"VIC","Inner Regional Australia","17-25","Yes","Indicator (Stage 1)","Yes","No","No","Not applicable",14,2023
"VIC","Inner Regional Australia","17-25","Yes","Indicator (Stage 1)","Yes","No","Yes","Not applicable",2,2023
"VIC","Inner Regional Australia","26-39","Yes","Indicator (Stage 1)","No","No","Yes","Not applicable",2,2023
"VIC","Inner Regional Australia","26-39","Yes","Indicator (Stage 1)","No","Yes","No","Not applicable",20,2023
"VIC","Inner Regional Australia","26-39","Yes","Indicator (Stage 1)","No","Yes","Yes","Not applicable",2,2023
"VIC","Inner Regional Australia","26-39","Yes","Indicator (Stage 1)","Yes","No","No","Not applicable",46,2023
"VIC","Inner Regional Australia","26-39","Yes","Indicator (Stage 1)","Yes","No","Yes","Not applicable",2,2023
"VIC","Inner Regional Australia","26-39","Yes","Indicator (Stage 1)","Yes","Yes","No","Not applicable",19,2023
"VIC","Inner Regional Australia","40-64","Yes","Indicator (Stage 1)","No","No","Yes","Not applicable",3,2023
"VIC","Inner Regional Australia","40-64","Yes","Indicator (Stage 1)","No","Yes","No","Not applicable",28,2023
"VIC","Inner Regional Australia","40-64","Yes","Indicator (Stage 1)","No","Yes","Yes","Not applicable",1,2023
"VIC","Inner Regional Australia","40-64","Yes","Indicator (Stage 1)","Yes","No","No","Not applicable",39,2023
"VIC","Inner Regional Australia","40-64","Yes","Indicator (Stage 1)","Yes","Yes","No","Not applicable",15,2023
"VIC","Inner Regional Australia","40-64","Yes","Indicator (Stage 1)","Yes","Yes","Yes","Not applicable",1,2023
"VIC","Inner Regional Australia","65 and over","Yes","Indicator (Stage 1)","No","Yes","No","Not applicable",1,2023
"VIC","Inner Regional Australia","65 and over","Yes","Indicator (Stage 1)","Yes","No","No","Not applicable",1,2023
"VIC","Major Cities of Australia","0-16","Yes","Indicator (Stage 1)","No","No","Yes","Not applicable",1,2023
"VIC","Major Cities of Australia","17-25","Yes","Indicator (Stage 1)","No","No","Yes","Not applicable",3,2023
"VIC","Major Cities of Australia","17-25","Yes","Indicator (Stage 1)","No","Yes","No","Not applicable",34,2023
"VIC","Major Cities of Australia","17-25","Yes","Indicator (Stage 1)","No","Yes","Yes","Not applicable",3,2023
"VIC","Major Cities of Australia","17-25","Yes","Indicator (Stage 1)","Yes","No","No","Not applicable",15,2023
"VIC","Major Cities of Australia","17-25","Yes","Indicator (Stage 1)","Yes","No","Yes","Not applicable",1,2023
"VIC","Major Cities of Australia","17-25","Yes","Indicator (Stage 1)","Yes","Yes","No","Not applicable",6,2023
"VIC","Major Cities of Australia","26-39","Yes","Indicator (Stage 1)","No","No","Yes","Not applicable",5,2023
"VIC","Major Cities of Australia","26-39","Yes","Indicator (Stage 1)","No","Yes","No","Not applicable",54,2023
"VIC","Major Cities of Australia","26-39","Yes","Indicator (Stage 1)","No","Yes","Yes","Not applicable",2,2023
"VIC","Major Cities of Australia","26-39","Yes","Indicator (Stage 1)","Yes","No","No","Not applicable",159,2023
"VIC","Major Cities of Australia","26-39","Yes","Indicator (Stage 1)","Yes","No","Yes","Not applicable",4,2023
"VIC","Major Cities of Australia","26-39","Yes","Indicator (Stage 1)","Yes","Yes","No","Not applicable",27,2023
"VIC","Major Cities of Australia","26-39","Yes","Indicator (Stage 1)","Yes","Yes","Yes","Not applicable",2,2023
"VIC","Major Cities of Australia","40-64","Yes","Indicator (Stage 1)","No","No","Yes","Not applicable",3,2023
"VIC","Major Cities of Australia","40-64","Yes","Indicator (Stage 1)","No","Yes","No","Not applicable",22,2023
"VIC","Major Cities of Australia","40-64","Yes","Indicator (Stage 1)","No","Yes","Yes","Not applicable",1,2023
"VIC","Major Cities of Australia","40-64","Yes","Indicator (Stage 1)","Yes","No","No","Not applicable",149,2023
"VIC","Major Cities of Australia","40-64","Yes","Indicator (Stage 1)","Yes","No","Yes","Not applicable",5,2023
"VIC","Major Cities of Australia","40-64","Yes","Indicator (Stage 1)","Yes","Yes","No","Not applicable",43,2023
"VIC","Major Cities of Australia","40-64","Yes","Indicator (Stage 1)","Yes","Yes","Yes","Not applicable",1,2023
"VIC","Major Cities of Australia","65 and over","Yes","Indicator (Stage 1)","No","Yes","No","Not applicable",3,2023
"VIC","Outer Regional Australia","17-25","Yes","Indicator (Stage 1)","No","No","Yes","Not applicable",2,2023
"VIC","Outer Regional Australia","17-25","Yes","Indicator (Stage 1)","No","Yes","No","Not applicable",2,2023
"VIC","Outer Regional Australia","17-25","Yes","Indicator (Stage 1)","Yes","No","No","Not applicable",4,2023
"VIC","Outer Regional Australia","17-25","Yes","Indicator (Stage 1)","Yes","No","Yes","Not applicable",1,2023
"VIC","Outer Regional Australia","26-39","Yes","Indicator (Stage 1)","No","Yes","No","Not applicable",2,2023
"VIC","Outer Regional Australia","26-39","Yes","Indicator (Stage 1)","Yes","No","No","Not applicable",19,2023
"VIC","Outer Regional Australia","26-39","Yes","Indicator (Stage 1)","Yes","Yes","No","Not applicable",6,2023
"VIC","Outer Regional Australia","40-64","Yes","Indicator (Stage 1)","No","Yes","No","Not applicable",1,2023
"VIC","Outer Regional Australia","40-64","Yes","Indicator (Stage 1)","Yes","No","No","Not applicable",9,2023
"VIC","Outer Regional Australia","40-64","Yes","Indicator (Stage 1)","Yes","Yes","No","Not applicable",3,2023
"VIC","Remote Australia","40-64","Yes","Indicator (Stage 1)","Yes","Yes","No","Not applicable",1,2023
"WA","Unknown","0-16","Yes","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable",0,2023
"WA","Unknown","17-25","Yes","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable",0,2023
"WA","Unknown","26-39","Yes","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable",0,2023
"WA","Unknown","40-64","Yes","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable",0,2023
"WA","Unknown","65 and over","Yes","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable",0,2023
"WA","Unknown","Unknown","No","Indicator (Stage 1)","No","Yes","No","No",141,2023
"WA","Unknown","Unknown","No","Indicator (Stage 1)","Yes","No","No","No",448,2023
"WA","Unknown","Unknown","No","Indicator (Stage 1)","Yes","Yes","No","No",76,2023
"WA","Unknown","Unknown","No","Secondary Confirmatory (Stage 2)","No","No","No","Yes",32,2023
"WA","Unknown","Unknown","No","Secondary Confirmatory (Stage 2)","No","No","No","No",6,2023
"WA","Unknown","Unknown","No","Secondary Confirmatory (Stage 2)","No","Yes","No","No",129,2023
"WA","Unknown","Unknown","No","Secondary Confirmatory (Stage 2)","Yes","No","No","No",406,2023
"WA","Unknown","Unknown","No","Secondary Confirmatory (Stage 2)","Yes","Yes","No","No",89,2023
"WA","Unknown","Unknown","Yes","Laboratory or Toxicology (Stage 3)","No","No","No","Yes",32,2023
"WA","Unknown","Unknown","Yes","Laboratory or Toxicology (Stage 3)","No","No","Yes","No",3,2023
"WA","Unknown","Unknown","Yes","Laboratory or Toxicology (Stage 3)","No","Yes","No","No",107,2023
"WA","Unknown","Unknown","Yes","Laboratory or Toxicology (Stage 3)","No","Yes","Yes","No",2,2023
"WA","Unknown","Unknown","Yes","Laboratory or Toxicology (Stage 3)","Yes","No","No","No",392,2023
"WA","Unknown","Unknown","Yes","Laboratory or Toxicology (Stage 3)","Yes","No","Yes","No",3,2023
"WA","Unknown","Unknown","Yes","Laboratory or Toxicology (Stage 3)","Yes","Yes","No","No",83,2023
"WA","Unknown","Unknown","Yes","Laboratory or Toxicology (Stage 3)","Yes","Yes","Yes","No",1,2023
"ACT","Major Cities of Australia","17-25","Yes","Laboratory or Toxicology (Stage 3)","No","Yes","Not applicable","Not applicable",3,2024
